,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9,to_10,to_11,to_12,to_13,to_14,to_15,to_16,to_17,to_18,to_19,to_20,to_21,to_22,to_23,to_24,to_25,to_26,to_27,to_28,to_29,to_30,to_31,to_32,to_33,to_34,to_35,to_36,to_37,to_38,to_39,to_40,to_41,to_42,to_43,to_44,to_45,to_46,to_47,to_48,to_49,to_50
from_11,0.28575,0.62789,0.36479,0.60141,0.6418,0.46857,0.6593,0.47967,0.34782,0.42348,1.09789,0.42553,0.65922,0.68189,0.36527,0.46017,0.28511,0.40705,0.52383,0.33684,0.86901,0.87343,1.25854,0.68268,0.38222,0.37675,0.3336,0.39048,0.67879,0.3751,0.83016,1.74926,2.13202,2.27798,6.78132,0.40069,0.56127,0.42748,0.60115,0.84018,0.48155,0.89154,1.29055,1.57233,0.56143,0.91305,0.78957,0.27695,0.61267,0.52011
from_12,0.91673,2.67094,1.30612,2.54043,2.73947,1.81743,1.18202,0.82166,0.54695,0.70889,0.59768,1.67388,1.64176,2.84845,0.60221,0.79378,0.44194,0.68607,0.44078,0.28969,0.48119,0.4702,0.65958,0.53385,0.63624,0.61512,0.52859,0.40671,0.58279,0.32338,0.45715,0.89776,1.08462,1.20692,3.97825,0.35057,0.47481,0.37258,0.50376,0.72064,0.2854,0.47282,0.67589,0.81929,0.35204,0.61089,0.48392,0.21928,0.5057,0.42917
from_13,0.67116,1.92262,0.95301,1.82816,1.97224,1.32311,0.9963,0.69148,0.47309,0.59594,0.80532,1.20091,1.27904,2.04388,0.49455,0.65269,0.36412,0.56621,0.45998,0.29951,0.63553,0.63121,0.90167,0.58344,0.52035,0.51911,0.44568,0.38168,0.6137,0.33446,0.60933,1.24656,1.53103,1.66655,5.32894,0.36147,0.49163,0.38305,0.52576,0.77161,0.35744,0.63366,0.92628,1.13202,0.42369,0.72499,0.59179,0.23467,0.52854,0.44879
from_14,3.50059,10.87929,5.12181,10.33591,11.16461,7.2507,4.60521,3.10732,1.92129,2.63782,2.17217,6.72801,6.60053,11.57844,2.27214,3.11798,1.60856,2.62277,1.60587,0.92044,1.68862,1.7021,2.5106,1.99151,2.42356,2.25647,1.91006,1.52518,2.07274,1.05852,1.61598,3.51499,4.35978,4.74167,16.37758,1.03653,1.61346,1.08812,1.82224,2.77716,0.87717,1.73764,2.57759,3.17113,1.25994,2.25162,1.85609,0.63749,1.89568,1.62444
from_15,0.53906,1.5019,0.75791,1.42854,1.54045,1.0453,2.69696,1.82536,1.13706,1.55267,0.57139,0.94148,0.9814,1.59606,1.32721,1.80981,0.93834,1.53007,0.7855,0.46139,0.45636,0.44058,0.62215,0.8387,1.40952,1.32586,1.11657,0.79019,1.0277,0.5252,0.42966,0.83678,1.03113,1.21411,4.65872,0.54335,0.79137,0.5553,0.88634,1.34148,0.26167,0.43772,0.63822,0.77984,0.38284,0.77375,0.54197,0.27705,0.90175,0.77409
from_16,0.68352,1.96202,0.97126,1.86556,2.01264,1.34914,5.48505,3.68486,2.25511,3.12164,0.93305,1.22522,1.33442,2.08592,2.69866,3.72982,1.89549,3.11757,1.54541,0.87052,0.73337,0.72578,1.05063,1.6162,2.88405,2.66172,2.24942,1.61333,1.99369,1.01015,0.69358,1.4499,1.79005,2.11389,8.51785,0.97491,1.5499,1.01315,1.74903,2.6914,0.39569,0.73049,1.07856,1.32437,0.67582,1.43054,1.00001,0.50619,1.82092,1.5632
from_17,0.29903,0.70386,0.39393,0.67205,0.72055,0.51854,1.88258,1.28889,0.82042,1.10313,0.38133,0.46085,0.49688,0.75467,0.94681,1.26987,0.68191,1.08497,0.56646,0.35399,0.31546,0.30643,0.40327,0.58982,1.00288,0.94865,0.80607,0.57206,0.74112,0.39567,0.3024,0.53671,0.63032,0.76394,2.84919,0.42193,0.59208,0.43989,0.64362,0.93669,0.204,0.2977,0.41248,0.49357,0.27863,0.54372,0.36979,0.22412,0.6505,0.55552
from_18,0.37641,0.94714,0.50654,0.90269,0.9698,0.67889,2.56548,1.74433,1.09954,1.48741,0.48911,0.6107,0.66096,1.01949,1.28273,1.74637,0.91635,1.47379,0.75667,0.45775,0.39803,0.39404,0.53266,0.78896,1.36468,1.27538,1.08451,0.7764,0.98289,0.52079,0.38456,0.72668,0.86451,1.02619,3.93281,0.52994,0.78646,0.55637,0.85965,1.27721,0.25109,0.39026,0.54635,0.65585,0.36516,0.72236,0.50094,0.29426,0.88142,0.75497
from_19,0.23299,0.48768,0.29281,0.46492,0.49675,0.3746,0.70309,0.50222,0.36239,0.43936,0.38761,0.32795,0.37824,0.53232,0.36805,0.47276,0.28241,0.41569,0.94704,0.55287,0.32029,0.31106,0.41074,0.49479,0.3856,0.38715,0.33886,0.60746,1.22491,0.63443,0.30926,0.55041,0.6476,0.84149,6.03899,0.63807,0.95035,0.66302,1.07566,1.60707,0.2097,0.30431,0.42037,0.50303,0.52757,1.02049,0.76327,0.35586,1.11086,0.95069
from_20,0.1862,0.32552,0.21952,0.30838,0.32736,0.26939,0.46316,0.34417,0.26995,0.30627,0.27318,0.23074,0.25811,0.37065,0.25351,0.31254,0.20619,0.28324,0.59812,0.37018,0.23304,0.23097,0.27901,0.32657,0.26327,0.27695,0.24779,0.3833,0.78136,0.41547,0.23286,0.37204,0.41392,0.54081,3.63111,0.43992,0.62001,0.45839,0.67956,0.992,0.17475,0.21856,0.28501,0.33091,0.34622,0.65035,0.47589,0.24715,0.68882,0.5884
from_21,0.19275,0.3317,0.22744,0.32007,0.3378,0.273,0.3567,0.27787,0.23121,0.2532,0.54923,0.24287,0.34545,0.37147,0.21764,0.25807,0.18628,0.2369,0.28602,0.21517,0.44875,0.43947,0.60851,0.35575,0.22386,0.23268,0.21376,0.21626,0.37648,0.23078,0.42544,0.82391,0.9807,1.0672,3.04169,0.26564,0.33611,0.28862,0.33118,0.42476,0.27869,0.44743,0.62256,0.74625,0.29701,0.46895,0.39145,0.18078,0.325,0.27315
from_22,0.24419,0.50856,0.30445,0.48212,0.51506,0.39071,0.54668,0.40064,0.30034,0.35339,0.92,0.34399,0.52903,0.56495,0.29875,0.36985,0.23871,0.33272,0.42023,0.28246,0.72336,0.71965,1.03588,0.55976,0.31145,0.31651,0.28107,0.31262,0.55784,0.31187,0.69079,1.43577,1.76927,1.90583,5.79273,0.34033,0.46122,0.36542,0.48394,0.69167,0.3964,0.72356,1.06442,1.30467,0.4462,0.74433,0.62459,0.23259,0.4878,0.41023
from_23,0.52434,1.42914,0.72664,1.35658,1.46175,0.99847,1.54971,1.0602,0.69436,0.90705,2.60324,0.9033,1.50149,1.53455,0.76493,1.03584,0.55202,0.87972,1.15496,0.67343,2.01732,2.04984,3.03566,1.57667,0.80911,0.78046,0.66357,0.83784,1.49716,0.77445,1.94134,4.27406,5.29972,5.61231,17.31271,0.75613,1.15331,0.79887,1.31289,2.00416,1.02553,2.09622,3.11758,3.83888,1.27552,2.11012,1.8564,0.52411,1.36377,1.1666
from_24,0.24949,0.56055,0.32245,0.53014,0.56938,0.4244,1.01427,0.70749,0.48002,0.61008,0.6006,0.36423,0.467,0.60819,0.50981,0.66935,0.37693,0.5825,0.63217,0.38559,0.47873,0.46719,0.65673,0.54822,0.53794,0.53063,0.45583,0.47583,0.83359,0.43856,0.45189,0.892,1.0924,1.25488,5.17265,0.45728,0.64967,0.47596,0.7179,1.07501,0.27245,0.46136,0.67379,0.82379,0.41398,0.77564,0.58927,0.25986,0.72967,0.62071
from_25,0.58422,1.64152,0.82219,1.56021,1.68268,1.13683,4.58095,3.08188,1.8947,2.61287,0.79036,1.02761,1.11897,1.75117,2.25394,3.11086,1.58512,2.60278,1.29359,0.73177,0.62407,0.61401,0.88372,1.35254,2.40219,2.22501,1.87634,1.34454,1.67361,0.84902,0.59213,1.21321,1.4993,1.76807,7.09977,0.83191,1.29969,0.85971,1.46383,2.24246,0.35059,0.62113,0.90787,1.10953,0.57417,1.19931,0.83844,0.43918,1.51824,1.30412
from_26,0.26638,0.59358,0.34172,0.56513,0.60501,0.44487,1.60263,1.09756,0.71206,0.93883,0.33135,0.39328,0.42328,0.65247,0.79401,1.0677,0.57406,0.91358,0.4783,0.30887,0.27722,0.27343,0.34729,0.49748,0.84025,0.809,0.68711,0.48019,0.63068,0.34608,0.2748,0.46679,0.53736,0.64759,2.43067,0.37185,0.51102,0.39265,0.54537,0.79385,0.19706,0.2652,0.35559,0.41833,0.25181,0.46899,0.31965,0.21475,0.54808,0.46731
from_27,0.23966,0.53377,0.30946,0.50466,0.54209,0.40635,1.45585,0.99759,0.65017,0.85423,0.29775,0.34634,0.37403,0.58111,0.71672,0.96123,0.51327,0.82337,0.42481,0.27823,0.25119,0.2449,0.30555,0.44482,0.76,0.73499,0.62494,0.42162,0.57036,0.31235,0.24936,0.41311,0.47211,0.57641,2.18246,0.33917,0.45216,0.35341,0.48115,0.71369,0.17723,0.23088,0.31087,0.3698,0.21909,0.4177,0.27349,0.18631,0.47735,0.40442
from_28,0.25314,0.57189,0.3262,0.53806,0.57818,0.43094,1.09885,0.7595,0.5126,0.65333,0.3957,0.37037,0.41653,0.62702,0.54791,0.72219,0.40726,0.62829,0.89457,0.52329,0.32178,0.31591,0.41704,0.53749,0.57358,0.56973,0.48795,0.616,1.16636,0.60032,0.31645,0.56456,0.67797,0.85795,5.63855,0.6053,0.8891,0.62263,1.01016,1.5392,0.21064,0.30557,0.4293,0.51533,0.47077,0.94264,0.68089,0.31739,1.03368,0.88736
from_29,0.3218,0.6865,0.40306,0.64755,0.69302,0.52166,0.98512,0.70045,0.49337,0.61021,0.53255,0.45978,0.52683,0.76091,0.51552,0.66027,0.39907,0.5848,1.33807,0.77957,0.43687,0.43502,0.57615,0.69061,0.53835,0.53965,0.47024,0.85678,1.72928,0.89658,0.42698,0.78443,0.92623,1.18641,8.6106,0.88445,1.33111,0.92693,1.51823,2.29456,0.29178,0.43011,0.59029,0.70183,0.73752,1.44645,1.07837,0.49931,1.57175,1.34635
from_30,0.24151,0.5168,0.30678,0.49354,0.52768,0.39444,0.74679,0.53136,0.37923,0.46396,0.40845,0.34548,0.40059,0.56188,0.38848,0.50193,0.29561,0.43961,1.01057,0.58688,0.33625,0.32635,0.43542,0.52557,0.40848,0.40791,0.35617,0.64858,1.30569,0.67429,0.32342,0.58348,0.68936,0.89665,6.43315,0.67413,1.0105,0.70091,1.1478,1.71961,0.21659,0.32013,0.44551,0.53441,0.56071,1.08748,0.81568,0.37656,1.18772,1.01667
from_31,0.27527,0.6282,0.35885,0.60018,0.64291,0.46859,0.67214,0.48034,0.34975,0.4209,1.14524,0.41422,0.66132,0.68199,0.35195,0.45084,0.27122,0.39704,0.51816,0.32928,0.89588,0.89385,1.30448,0.68866,0.36842,0.37158,0.32587,0.36829,0.67973,0.36842,0.85578,1.81224,2.24447,2.39964,7.32597,0.39451,0.5443,0.41171,0.58877,0.85838,0.48232,0.90901,1.34023,1.64382,0.55499,0.92315,0.79032,0.26048,0.59209,0.50544
from_32,0.57394,1.55228,0.79547,1.47453,1.58928,1.09112,1.63219,1.12308,0.74736,0.96337,2.87827,0.97703,1.63875,1.6631,0.8082,1.08609,0.59188,0.92942,1.25416,0.7327,2.22796,2.25086,3.34148,1.71496,0.85351,0.83293,0.71045,0.88605,1.6312,0.84426,2.13603,4.68829,5.82988,6.18267,19.05052,0.83381,1.24628,0.87084,1.41902,2.17334,1.12721,2.29881,3.43244,4.23296,1.38027,2.30733,2.01595,0.566,1.46121,1.25382
from_33,0.85947,2.52232,1.23112,2.39778,2.58774,1.71911,2.61596,1.77132,1.11149,1.50706,4.67832,1.57074,2.66959,2.68324,1.28738,1.75811,0.91053,1.48391,2.03305,1.13153,3.602,3.67689,5.48772,2.79793,1.36902,1.2873,1.0891,1.46004,2.61598,1.319,3.47457,7.75529,9.64909,10.18738,31.51104,1.25435,1.97865,1.31296,2.30263,3.55565,1.78015,3.76207,5.63828,6.96323,2.26541,3.76924,3.33665,0.8722,2.41076,2.06954
from_34,0.88278,2.54288,1.256,2.4178,2.60856,1.74608,2.68833,1.82626,1.15946,1.55655,4.60529,1.58725,2.65992,2.70709,1.32313,1.79942,0.93851,1.52373,2.17824,1.21642,3.55074,3.61949,5.3875,2.80907,1.40533,1.33222,1.12852,1.54158,2.8067,1.41285,3.42375,7.60532,9.45383,10.02167,31.80414,1.35999,2.1247,1.4169,2.4661,3.7965,1.76606,3.69675,5.53502,6.83315,2.30175,3.86833,3.38919,0.91987,2.57429,2.20992
from_35,4.62185,14.50363,6.78716,13.7779,14.8847,9.63048,16.01046,10.70477,6.49419,9.04478,10.33679,8.95919,10.85001,15.43517,7.87605,11.00056,5.50884,9.11069,13.35106,7.28658,7.93602,8.15772,12.19146,10.0397,8.48729,7.75097,6.60263,9.60433,17.11817,8.54743,7.71287,17.302,21.52272,24.16817,64.14146,7.79774,12.89205,8.36963,15.15158,23.7063,3.87231,8.34228,12.52725,15.48261,11.83828,21.04769,18.14945,5.15221,16.10122,13.82206
from_36,0.72288,1.98959,1.00546,1.89001,2.03582,1.38089,2.54874,1.7389,1.11411,1.48595,2.0297,1.25882,1.65547,2.13326,1.27757,1.72991,0.92237,1.46636,3.0192,1.68668,1.5827,1.60454,2.34422,1.95609,1.3548,1.27951,1.0912,2.0012,3.88457,1.96422,1.5307,3.28672,4.05545,4.66061,27.77612,1.85027,2.93844,1.96066,3.42756,5.29933,0.83344,1.63127,2.40769,2.95524,5.86285,9.51054,9.1132,1.75624,3.60627,3.09202
from_37,0.45817,1.10331,0.60989,1.05245,1.13001,0.80909,1.75662,1.21816,0.81452,1.0497,0.81419,0.71483,0.83391,1.18549,0.88515,1.17523,0.6449,1.01046,2.08436,1.18599,0.65638,0.64394,0.88872,1.10352,0.93599,0.90962,0.78033,1.36625,2.68617,1.3714,0.62747,1.20958,1.45808,1.87464,13.56835,1.33361,2.04855,1.39665,2.3641,3.6062,0.39232,0.63684,0.91081,1.10507,1.12554,2.22766,1.6733,0.74489,2.46237,2.1109
from_38,1.46659,4.31585,2.0949,4.09355,4.41829,2.93106,6.27888,4.23023,2.62592,3.58836,3.05728,2.68902,3.21192,4.61412,3.0984,4.27638,2.19543,3.57766,9.01646,4.95001,2.36984,2.41404,3.54575,4.41387,3.3177,3.08184,2.6247,5.79704,11.57359,5.79642,2.29763,4.99243,6.18303,7.83987,60.86502,5.33522,8.66367,5.70118,10.22797,15.9647,1.22415,2.45243,3.64338,4.48237,4.80339,9.65493,7.38657,2.98713,10.83384,9.3003
from_39,0.31644,0.69795,0.40547,0.66428,0.71134,0.52735,1.01224,0.71506,0.50382,0.62208,0.5455,0.46184,0.53603,0.76079,0.52127,0.67586,0.39351,0.59119,1.37753,0.79592,0.44591,0.43317,0.58432,0.70845,0.54691,0.54593,0.4744,0.87952,1.77942,0.91538,0.4305,0.78774,0.93875,1.21658,8.8574,0.90685,1.36848,0.9448,1.56304,2.35966,0.28306,0.42712,0.59935,0.72064,0.75693,1.48141,1.11006,0.50293,1.61947,1.38732
from_40,0.39612,1.01842,0.53731,0.96765,1.04137,0.72746,1.48975,1.02434,0.66388,0.8774,0.75284,0.65153,0.76916,1.09855,0.74282,0.99091,0.53954,0.85279,2.09013,1.1665,0.59964,0.5918,0.8447,1.03825,0.78582,0.7568,0.64396,1.33087,2.68619,1.35761,0.56801,1.16283,1.42386,1.82437,13.9374,1.28439,2.02099,1.35045,2.36754,3.66169,0.34118,0.598,0.8649,1.05507,1.11331,2.24053,1.69371,0.71839,2.48065,2.13075
from_41,0.17139,0.25778,0.1928,0.24913,0.26115,0.22368,0.28041,0.22697,0.20182,0.21027,0.41089,0.19721,0.26633,0.29977,0.18458,0.20712,0.17068,0.1985,0.22606,0.18449,0.34279,0.33346,0.4446,0.2733,0.18392,0.19974,0.1866,0.17291,0.30025,0.19508,0.32699,0.59165,0.6904,0.76192,2.0933,0.23159,0.27933,0.25602,0.26327,0.32104,0.22753,0.33544,0.45414,0.53795,0.23352,0.36101,0.29103,0.16275,0.25352,0.21422
from_42,0.22265,0.45309,0.27647,0.43129,0.4604,0.35223,0.4886,0.36065,0.27974,0.32009,0.80984,0.30696,0.47293,0.50111,0.26744,0.3295,0.22007,0.2995,0.37538,0.25623,0.64014,0.63429,0.90975,0.4902,0.27557,0.28911,0.25772,0.26872,0.49896,0.28385,0.61134,1.25315,1.54273,1.66357,5.03809,0.31342,0.41084,0.33328,0.42893,0.60886,0.36052,0.64037,0.93316,1.13979,0.39763,0.65806,0.55128,0.21096,0.42482,0.36116
from_43,0.38603,0.9729,0.51775,0.9248,0.99365,0.69561,1.01938,0.71492,0.48428,0.61907,1.7671,0.62763,1.02332,1.05033,0.52697,0.68608,0.39667,0.5996,0.79255,0.47376,1.37687,1.39244,2.04505,1.06422,0.55395,0.54161,0.46796,0.57551,1.02957,0.54204,1.32104,2.86472,3.53822,3.76111,11.47352,0.55033,0.80674,0.5793,0.90278,1.33955,0.71638,1.4194,2.09962,2.57997,0.86718,1.43654,1.24965,0.38241,0.93026,0.79416
from_44,0.29819,0.7012,0.39269,0.66952,0.71782,0.51679,0.74484,0.53007,0.37849,0.46286,1.26928,0.45921,0.73864,0.75184,0.38717,0.50064,0.29133,0.43715,0.57677,0.35927,0.99558,0.99478,1.45526,0.7667,0.40743,0.40697,0.35541,0.41126,0.75425,0.40181,0.94306,2.02204,2.4936,2.66031,8.05285,0.4278,0.59979,0.44592,0.65532,0.95473,0.53231,1.01646,1.49355,1.83047,0.61602,1.02827,0.88844,0.28158,0.66298,0.5662
from_45,0.28916,0.66952,0.3747,0.63269,0.67946,0.49671,0.81446,0.57559,0.40302,0.49898,0.83908,0.43704,0.59466,0.73755,0.41839,0.5381,0.32401,0.47613,0.82691,0.49254,0.66141,0.65782,0.94144,0.65817,0.43674,0.43913,0.38021,0.55038,1.08212,0.56744,0.63616,1.30372,1.60186,1.79621,8.8336,0.56693,0.83081,0.59298,0.93674,1.42795,0.37002,0.66056,0.96716,1.18287,2.01009,3.19793,3.10479,0.57759,0.96118,0.82177
from_46,0.66078,1.80222,0.91862,1.71578,1.84758,1.25719,2.32844,1.59291,1.02126,1.36277,1.81998,1.14201,1.49615,1.92378,1.16627,1.5757,0.8381,1.33746,2.78361,1.55863,1.42206,1.42587,2.09401,1.77379,1.23572,1.17137,0.99609,1.84042,3.57133,1.81035,1.35787,2.91707,3.60722,4.17289,24.96666,1.71009,2.70674,1.81268,3.15931,4.86083,0.74851,1.45602,2.14966,2.63949,5.13359,8.37471,7.98765,1.57775,3.32029,2.84738
from_47,0.32631,0.8185,0.44012,0.77759,0.83703,0.59288,1.02526,0.71043,0.48425,0.61192,0.93548,0.52046,0.70293,0.87751,0.50775,0.67145,0.37224,0.58175,1.09676,0.62754,0.73524,0.72389,1.0535,0.79176,0.53466,0.53168,0.45592,0.7157,1.4234,0.7234,0.69483,1.44888,1.79514,2.04347,11.28423,0.72012,1.08051,0.74137,1.23971,1.893,0.39629,0.73245,1.08151,1.32801,2.85874,4.54446,4.44944,0.77204,1.27824,1.09732
from_48,0.30796,0.71012,0.39826,0.67411,0.72249,0.52357,1.01193,0.71207,0.48164,0.61701,0.55363,0.4691,0.5449,0.77439,0.52704,0.68523,0.39804,0.59892,1.38145,0.79235,0.44744,0.44107,0.60789,0.71931,0.55443,0.5396,0.46659,0.89692,1.78125,0.91782,0.4286,0.82981,0.99814,1.27068,9.25864,0.88475,1.36288,0.93754,1.57092,2.39878,0.27308,0.44036,0.62381,0.75297,0.85892,1.63962,1.28707,0.52373,1.6412,1.40532
from_49,0.49459,1.2988,0.67806,1.23342,1.32878,0.92395,1.90717,1.30527,0.84838,1.11696,0.96186,0.8209,0.9737,1.39165,0.94133,1.26415,0.6775,1.08219,2.67807,1.48954,0.76011,0.74698,1.07134,1.32296,0.99571,0.96159,0.81686,1.70045,3.44214,1.73483,0.72241,1.47183,1.81448,2.33186,17.85882,1.64389,2.5889,1.72198,3.03356,4.68851,0.42371,0.75046,1.10067,1.34762,1.42273,2.86546,2.16736,0.90663,3.17889,2.72891
from_50,0.36828,0.95811,0.50575,0.91206,0.98233,0.68625,1.41171,0.96816,0.63316,0.82939,0.71509,0.60616,0.72067,1.01921,0.69499,0.93242,0.49713,0.79821,1.9766,1.09518,0.56643,0.55213,0.79241,0.97801,0.73691,0.71398,0.60746,1.25302,2.54183,1.27769,0.53193,1.07867,1.3327,1.72147,13.16001,1.21975,1.91351,1.26967,2.23855,3.44901,0.31479,0.55406,0.8132,0.99619,1.05037,2.11258,1.59709,0.67124,2.34251,2.01095
